Island,Manufacturer,Number of Chargers,Number of Ports
Oahu,AeroVironment,3.0,3.0
Oahu,Better Place,4.0,4.0
Oahu,AeroVironment,1.0,2.0
Oahu,Better Place,2.0,2.0
Oahu,AeroVironment,2.0,2.0
Oahu,Charge Point,12.0,12.0
Hawaii,Better Place,3.0,6.0
Oahu,AeroVironment,2.0,2.0
Hawaii,Better Place,2.0,4.0
Oahu,Volta,2.0,2.0
Maui,,1.0,1.0
Oahu,Better Place,4.0,8.0
Hawaii,Better Place,1.0,2.0
Hawaii,,2.0,2.0
Oahu,Schneider Electric,1.0,1.0
Oahu,Eaton?,1.0,1.0
Oahu,Volta,1.0,1.0
Oahu,AeroVironment,2.0,2.0
Maui,Better Place,2.0,2.0
Oahu,Better Place,2.0,2.0
Oahu,AeroVironment,1.0,1.0
Oahu,Volta,1.0,1.0
Oahu,Better Place,2.0,2.0
Oahu,Shorepower,1.0,1.0
Oahu,ECOtality Blink,2.0,2.0
Maui,Better Place,1.0,2.0
Oahu,Better Place,4.0,4.0
Oahu,Coulomb,4.0,4.0
Hawaii,Better Place,2.0,4.0
Oahu,Better Place,2.0,2.0
Kauai,AeroVironment,3.0,3.0
Oahu,,3.0,6.0
Oahu,Better Place,4.0,4.0
Maui,Better Place,1.0,2.0
Oahu,AeroVironment,1.0,1.0
Oahu,Better Place,2.0,2.0
Maui,Blink,1.0,1.0
Oahu,Eaton,1.0,1.0
Oahu,Better Place,4.0,4.0
Oahu,Better Place,2.0,4.0
Oahu,Better Place,4.0,4.0
Maui,Better Place,1.0,2.0
Oahu,AeroVironment,2.0,2.0
Oahu,Better Place,2.0,2.0
Oahu,Volta,2.0,2.0
Oahu,Better Place,2.0,4.0
Maui,Eaton,,
Maui,Schneider,1.0,1.0
Oahu,AeroVironment,1.0,1.0
Oahu,Better Place,1.0,2.0
Oahu,Better Place,4.0,4.0
Oahu,AeroVironment,1.0,1.0
Maui,Better Place,2.0,2.0
Oahu,Better Place,2.0,2.0
Oahu,Eaton,2.0,2.0
Maui,AeroVironment,1.0,1.0
Maui,AeroVironment,1.0,2.0
Hawaii,,2.0,2.0
Kauai,AeroVironment,2.0,2.0
Oahu,AeroVironment,1.0,1.0
Oahu,AeroVironment,2.0,2.0
Kauai,Eaton,2.0,2.0
Oahu,AeroVironment,2.0,2.0
Kauai,Better Place,2.0,4.0
Oahu,AeroVironment,2.0,2.0
Oahu,Better Place,2.0,2.0
Oahu,Better Place,1.0,2.0
Hawaii,Better Place,4.0,8.0
Oahu,AeroVironment,1.0,1.0
Maui,Hubbell,2.0,2.0
Maui,Better Place,1.0,2.0
Oahu,Better Place,6.0,6.0
Maui,AeroVironment,2.0,2.0
Oahu,AeroVironment,2.0,4.0
Maui,AeroVironment,3.0,3.0
Oahu,Volta,2.0,2.0
Oahu,Better Place,2.0,2.0
Oahu,ChargePro,1.0,1.0
Oahu,AeroVironment,2.0,2.0
Oahu,ChargePro,1.0,1.0
Oahu,Better Place,2.0,2.0
Kauai,AeroVironment,2.0,2.0
Oahu,AeroVironment,1.0,1.0
Oahu,,1.0,1.0
Oahu,Volta,1.0,1.0
Oahu,Volta,1.0,1.0
Hawaii,Better Place,2.0,2.0
Oahu,AeroVironment,1.0,1.0
Maui,Coulomb,1.0,1.0
Oahu,Volta,2.0,2.0
Oahu,AeroVironment,1.0,1.0
Oahu,ChargePoint Network and Tesla,2.0,3.0
Oahu,Better Place,1.0,2.0
Oahu,Better Place,4.0,4.0
Oahu,Eaton,1.0,1.0
Oahu,Better Place,2.0,2.0
Maui,Simens (Coulomb),2.0,2.0
Hawaii,Better Place,2.0,4.0
Maui,AeroVironment,2.0,2.0
Kauai,Better Place,3.0,3.0
Oahu,AeroVironment,2.0,2.0
Maui,,2.0,2.0
Maui,Better Place,2.0,4.0
Oahu,Volta,2.0,2.0
Oahu,AeroVironment,2.0,2.0
Oahu,ChargePro,1.0,1.0
Oahu,,1.0,1.0
Oahu,AeroVironment,1.0,1.0
Oahu,Better Place,4.0,4.0
Kauai,AeroVironment,3.0,3.0
Oahu,AeroVironment,2.0,2.0
Kauai,AeroVironment,1.0,2.0
Maui,Pep,1.0,2.0
Maui,AeroVironment,1.0,1.0
Oahu,Better Place,3.0,3.0
